Shazam Top 100 Dance
"Monday, 14 November 2022 [performance over the past 7 days]"
Rank,Artist,Title
1,"David Guetta & Bebe Rexha","I'm Good (Blue)"
2,"Robin Schulz & David Guetta","On Repeat"
3,"twocolors","Heavy Metal Love"
4,"Barton","Running up That Hill"
5,"Dj Quba & Sandra K","Eins Zwei Polizei"
6,"Meduza & James Carter","Bad Memories (feat. Elley Duhé & FAST BOY)"
7,"Eliza Rose & Interplanetary Criminal","B.O.T.A. (Baddest Of Them All)"
8,"Radjo","Yav Ke Me (Effective Radio Remix)"
9,"Imanbek & BYOR","Belly Dancer"
10,"KDDK","Heartbreaker"
11,"Felix Jaehn & Ray Dalton","Call It Love"
12,"Aaron Smith","Dancin (feat. Luvli) [Krono Remix]"
13,"Melisa & Tommo","I'm Alone"
14,"Alok, Sigala & Ellie Goulding","All By Myself"
15,"Eugenio Taicuz","Tataki"
16,"Filatov & Karas & Busy Reno","Au Revoir"
17,"James Hype & Miggy Dela Rosa","Ferrari"
18,"Eric Saade","Wide Awake (feat. Gustaf Norén & Filatov & Karas) [Red Mix]"
19,"Robert Cristian & Alis Shuka","In the End"
20,"Alan Walker","Faded"
21,"Cassette","Tell Me Why"
22,"Why Mona","Wannabe"
23,"Birat Bitz","Ecstasy"
24,"Benny Benassi & The Biz","Satisfaction (Radio Edit)"
25,"Inna, MELON & Dance Fruits Music","Hello Hello"
26,"Era Istrefi","Bebe (Deep House Remix)"
27,"Jordan Burns","Weekend"
28,"Mau P","Drugs From Amsterdam"
29,"Tiësto & Charli XCX","Hot In It"
30,"Burak Yeter","Tuesday (feat. Danelle Sandoval)"
31,"Pháo","2 Phút Hơn (KAIZ Remix)"
32,"Tiësto & Black Eyed Peas","Pump It Louder"
33,"t-Zhuk","Amaga"
34,"Hafex","Intihask"
35,"Nikita Rise & ONE BRO","Harmonica"
36,"Imanbek & DVBBS","Ocean Of Tears"
37,"SHEBA","Let Me In"
38,"Öwnboss & SEVEK","Move Your Body"
39,"Minelli","Rampampam"
40,"Edward Maya & Vika Jigulina","Stereo Love"
41,"She Taki","Takita"
42,"Swifty Sounds & sped up songs","locked out of heaven (sped up)"
43,"Alan Walker & ISÁK","Sorry (Albert Vishi Remix)"
44,"Rebzyyx","all I want is you (feat. hoshie star)"
45,"Pascal Letoublon","Friendships (Lost My Love) [feat. Leony!]"
46,"MATRANG","Заманчивая"
47,"Gorgon City","Imagination (feat. Katy Menditta)"
48,"SAINt JHN","Roses (Imanbek Remix)"
49,"Mia Martina","Tu Me Manques"
50,"Holy Molly","Shot a friend"
51,"Jonny McGovern","Man Areas"
52,"Kastuvas","Keep on Moving (feat. Emie)"
53,"Regard & Years & Years","Hallucination"
54,"Sagi Abitbul & Guy Haliva","Stanga (Radio Version)"
55,"Aziza Qobilova","Ya La La"
56,"Deorro","Five Hours"
57,"Supermode","Tell Me Why (Meduza Remix)"
58,"Kush Kush","So Lonely"
59,"Master KG","Jerusalema (feat. Nomcebo Zikode)"
60,"Pandora","Why (Magistral)"
61,"Ilkay Sencan, Dynoro & Joel Gustafsson Schönborg","Rockstar"
62,"Basshunter & DJ Mental Theo's Bazzheadz","Now You're Gone (Radio Edit) [feat. DJ Mental Theo's Bazzheadz & DJ Mental Theo's Bazzheadz]"
63,"Savage","Don't Cry Tonight"
64,"Alok, Sofi Tukker & Inna","It Don’t Matter"
65,"Alexandra Stan","Mr. Saxobeat"
66,"Eiffel 65","Blue (Da Ba Dee) [Gabry Ponte Video Edit]"
67,"Inna","Flashbacks"
68,"Butch U","Combo"
69,"Calvin Harris, Dua Lipa","One Kiss"
70,"Gala","Freed from Desire"
71,"Robin Schulz","Rockstar Baby (feat. Mougleta)"
72,"невиди́мка","Звезда"
73,"Pascal Letoublon","Friendships"
74,"Unklfnkl","Oh My Darling"
75,"Caldera Junior","Can't Fight This Feeling (feat. Sophie Ellis-Bextor)"
76,"Clean Bandit","Solo (feat. Demi Lovato)"
77,"HUGEL, Stefy De Cicco & Hugo Cantarra","4 to the Floor (feat. Nikol Apatini)"
78,"Clean Bandit","Rockabye (feat. Sean Paul & Anne-Marie)"
79,"Studio Killers","Jenny (Instrumental)"
80,"Nathan Dawe","21 Reasons (feat. Ella Henderson)"
81,"Tiësto & KAROL G","Don't Be Shy"
82,"Scatman John","Scatman (Ski-Ba-Bop-Ba-Dop-Bop) [Basic-Radio]"
83,"Carla Morrison & Audioiko","Disfruto (Audioiko Remix)"
84,"Moses, EMR3YGUL & Alexiane","A Million on My Soul (Remix)"
85,"O-Zone","Dragostea Din Tei (Original Romanian Version)"
86,"The Chainsmokers","Don't Let Me Down (feat. Daya)"
87,"One-T","The Magic Key"
88,"Ummet Ozcan","Xanadu"
89,"Marc Philippe","Dancer in the Dark"
90,"Maribou State","Tongue (feat. Holly Walker)"
91,"Daft Punk","Around the World"
92,"Laki Bass","Desert"
93,"Acraze","Believe (feat. Goodboys)"
94,"Yves V & SEVEK","Same Man"
95,"Sean Finn","Love Is Pride (Extended Mix)"
96,"Serhat Durmus","La Câlin"
97,"Ida Corr","Let Me Think About It"
98,"Rogue Dave","Internal"
99,"Purple Disco Machine & Sophie and the Giants","In The Dark (Oliver Heldens Remix)"
100,"ATB, Topic & A7S","Your Love (9PM)"
