Shazam Top 100 Hip-Hop/Rap
"Monday, 14 November 2022 [performance over the past 7 days]"
Rank,Artist,Title
1,"Bakr","Вредина (Mbts Remix)"
2,"Miyagi & Эндшпиль","Silhouette"
3,"Eminem","Mockingbird"
4,"БАЗАР","Нищенка"
5,"ChipaChip & SKRO","Не засекал"
6,"De Lacure","Esindi Jina"
7,"Captown & Landau","gangsta party"
8,"ASHY","Острый козырёк"
9,"Шалих","Лаванда"
10,"Emkal","Oublie-moi"
11,"Kamazz","Как ты там"
12,"Jakone, A.V.G & Итачи","Курить"
13,"SALUKI & 104","KELIN (feat. OG Buda & MAYOT & Кисло-Сладкий & Bonah)"
14,"Coolio","Gangsta's Paradise (feat. L.V.)"
15,"Cyberay","124 (Slow)"
16,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
17,"G-Eazy & Halsey","Him & I"
18,"Chopper beatz.","Мне так не хватает твоей красоты (Remix)"
19,"Black Eyed Peas","My Humps"
20,"Miyagi & Эндшпиль","Saloon"
21,"Skryptonite","Космос (feat. Charusha)"
22,"Truwer","Дерзко (feat. qurt, НЕДРЫ & Скриптонит) [Remix]"
23,"TEKSIDR","МАМ"
24,"Aarne, BUSHIDO ZHO & ANIKV","Тесно"
25,"BONES","Hdmi"
26,"KENTUKKI","Zamigaet svet"
27,"Miyagi & Эндшпиль","Временно"
28,"Flo Rida","Low (feat. T-Pain)"
29,"Ms Krazie","A Gangster's Wife (feat. Chino Grande)"
30,"Ирина Кайратовна","5000"
31,"Miyagi & Эндшпиль","Не теряя"
32,"Eminem","Without Me"
33,"Ирина Кайратовна","NE ÁŃGIME? (feat. Junior)"
34,"Cochise & $NOT","Tell Em"
35,"Miyagi & Эндшпиль","Люби меня (feat. Sимптом)"
36,"ONEIL, ORGAN & Titov","ULETAY (feat. FAVIA)"
37,"INSTASAMKA","MONEYKEN LOVE"
38,"SHAMI","Моя по-любому"
39,"Boulevard Depo","Angry toy$"
40,"Archi","Парень твой бандит"
41,"LXST CXNTURY","ODIUM (feat. Kingpin Skinny Pimp)"
42,"Miyagi & Andy Panda","Freeman"
43,"Kasta","Ды-ды-дым"
44,"Lil Nas X & Jack Harlow","INDUSTRY BABY"
45,"Miyagi & Эндшпиль","Untouchable (feat. Рем Дигга)"
46,"Skryptonite & Райда","Baby mama"
47,"JANAGA","Моя муза"
48,"Xcho","Ты и Я"
49,"Skryptonite","Танцуй сама"
50,"Miyagi","Самурай"
51,"АДЛИН","Dead Inside"
52,"104","НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)"
53,"Toni Raut","Карнавал"
54,"ALEKS ATAMAN & FINIK","Диалоги тет-а-тет"
55,"Showbiz School","Все Сам"
56,"DVRST & OBLXKQ","Endless Love"
57,"Молодой Платон, Пошлая Молли & Yanix","DON'T PLAY, BAE"
58,"Miyagi & Эндшпиль","Need me"
59,"Enrasta","Джованна"
60,"Triagrutrika","Биг сити лайф"
61,"Fetty Wap, Imanbek & MORGENSHTERN","Leck (feat. KDDK)"
62,"RAIKAHO","Твой предатель"
63,"Hensonn","Sahara"
64,"Yamadzhi & Feydzhi","Минимум (Ramzan Abitov Remix)"
65,"Loc-Dog","Счастье в простом"
66,"Masked Wolf","Astronaut In The Ocean"
67,"Miyagi & Эндшпиль","Ночь"
68,"Mull3","Хотел сказать"
69,"Miyagi & Andy Panda","Minor"
70,"Toni Raut & Talibal","Кабриолет"
71,"Armani White","BILLIE EILISH."
72,"Drake","One Dance (feat. Wizkid & Kyla)"
73,"Andy Panda","Endorphin (feat. Miyagi)"
74,"Kto TAM? & Kadim","До талого (feat. Miyagi)"
75,"Аркайда","Теперь вали"
76,"Flo Rida","Right Round (feat. Ke$ha)"
77,"SyKo","#BrooklynBloodPop!"
78,"Jah Khalib & MARUV","По льду"
79,"StaFFорд63","Жизнь пацанская"
80,"Miyagi & Эндшпиль","Fire Man"
81,"Eminem","Sing For The Moment"
82,"Flo Rida","Whistle"
83,"Black Eyed Peas","Let's Get It Started (Spike Mix)"
84,"Erika Lundmoen","Яд"
85,"DZHIVAN","Автор"
86,"Andy Mineo & Lecrae","Coming In Hot"
87,"Big Baby Tape & kizaru","99 Problems"
88,"Ricky Rich & Dardan","Habibi (Albanian Remix)"
89,"Miyagi & Andy Panda","Yamakasi"
90,"MACAN","Плачь, но не звони"
91,"RAIKAHO","Летит патруль (by Atlanta)"
92,"The Living Tombstone","My Ordinary Life"
93,"FEDUK","Хлопья летят наверх"
94,"Ирина Кайратовна","Майк, кроссовки"
95,"Miyagi & Эндшпиль","Самая (feat. Amigo)"
96,"Bianka","Бьянка-музыка"
97,"Ирина Кайратовна","Биач"
98,"kizaru","Block Baby"
99,"XxulliGan","Massvvna"
100,"SOSKA 69","Басы долбят"
