Shazam Top 100 Pop
"Monday, 14 November 2022 [performance over the past 7 days]"
Rank,Artist,Title
1,"DJ Smash & NIVESTA","Позвони"
2,"Markul & Тося Чайкина","Стрелы"
3,"Mario Fresh & Renvtø","Necesar"
4,"Oliver Tree & Robin Schulz","Miss You"
5,"Amirchik","Эта любовь"
6,"просто Лера","Провода"
7,"LSP & Moya Mishel","Курточка"
8,"NЮ","Некуда бежать"
9,"ANNA ASTI","Ночью на кухне"
10,"Filatov & Karas","Движ"
11,"Sam Smith & Kim Petras","Unholy"
12,"Olivia Addams","Fool Me Once"
13,"Люся Чеботина","ПЛАКАЛ ГОЛЛИВУД"
14,"Tove Lo","2 Die 4"
15,"RASA","ПОГУДИМ"
16,"Zivert","WAKE UP!"
17,"Måneskin","SUPERMODEL"
18,"Elley Duhé","MIDDLE OF THE NIGHT"
19,"ANNA ASTI","Повело"
20,"Costa Lacoste & Allj","Бронежилет"
21,"JONY","Никак"
22,"Klangkarussell","Home"
23,"DJ Smash & Artik & Asti","CO2"
24,"GAYAZOV$ BROTHER$","ФАИНА"
25,"Filatov & Karas","I Keep On"
26,"Lady Gaga","Just Dance (feat. Colby O'Donis)"
27,"OneRepublic","I Ain't Worried"
28,"Султан Лагучев","Горячая, гремучая"
29,"Polina Gagarina & Dima Bilan","Души"
30,"Ava Max","Million Dollar Baby"
31,"Меховая 8/1","Тойға Шашу"
32,"blackbear","hot girl bummer"
33,"ANNA ASTI","По барам"
34,"Mary Gu","Калифорния"
35,"МОТ","Любовь как спецэффект"
36,"Minelli & R3HAB","Deep Sea"
37,"Egor Kreed","We Gotta Get Love"
38,"Olivia Addams & Dylan Fuentes","Telepathy"
39,"STRANIZA","Painful"
40,"Dabro","Мне не страшно"
41,"AURORA","Cure For Me"
42,"ALEKS ATAMAN & FINIK","Белыми ночами"
43,"Boney M.","Rasputin (Single Version)"
44,"Lolita & Costa Lacoste","По-другому"
45,"TSOY","Покажу паранойю"
46,"Bastard!","Don't Stop the Party"
47,"ALMA","Summer Really Hurt Us"
48,"Nessa Barrett","la di die (feat. jxdn)"
49,"The Future X","This Kind of Love"
50,"XOLIDAYBOY","Моя хулиганка"
51,"Ani Lorak","Лабиринт"
52,"Moya Mishel & Dose","Пташка"
53,"Bittuev","Братик"
54,"Duncan Laurence","Arcade"
55,"Mari Kraymbreri","Не буди меня"
56,"GOARTUR","Иностранец"
57,"Harry Styles","As It Was"
58,"Kenjebek Nurdolday","Шоколад"
59,"אדם","Давай не болей"
60,"Elton John & Britney Spears","Hold Me Closer"
61,"ANNA ASTI & Philipp Kirkorov","Хобби"
62,"ALEKS ATAMAN & FINIK","ОЙ, ПОДЗАБЫЛИ"
63,"GAYAZOV$ BROTHER$","МАЛИНОВАЯ ЛАДА"
64,"Анет Сай & Galibri & Mavik","Медляк"
65,"Фейгин","Ливни Листопады"
66,"Ed Sheeran","Perfect"
67,"JANAGA","Скажи мне/Asa du"
68,"Nikolay Noskov, Stas Pieha, IVAN & Igor Romanoff","Не вставай на колени"
69,"NЮ","Никто"
70,"Silent Circle","Touch in the Night"
71,"PIZZA","Пружинка"
72,"Асия","Лампочка (OST Новые Пацанки)"
73,"Jah Khalib","Осенняя"
74,"GAYAZOV$ BROTHER$ & Filatov & Karas","Пошла жара"
75,"Dose & FEDUK","Ты"
76,"ELMAN & MONA","Черная любовь"
77,"Zyrex","Love Me (Bluefin Remix)"
78,"ETOLUBOV","Притяжение (Official remix)"
79,"ADAM","О тебе малая"
80,"JONY & HammAli","Наверно, ты меня не помнишь"
81,"ELMAN","Антигерой"
82,"Somerset","Звонок"
83,"DEAD BLONDE","Всего лишь друг"
84,"Galibri & Mavik","Лампочки"
85,"MUJEVA","Между нами ничего нет"
86,"Пошлая Молли & HOFMANNITA","#HABIBATI"
87,"Nelly Furtado","Say It Right"
88,"Beyoncé","CUFF IT"
89,"Black Eyed Peas, Shakira & David Guetta","DON'T YOU WORRY"
90,"Amirchik & HARU","Чистый кайф"
91,"George Michael","Careless Whisper"
92,"Zivert","смех и грех"
93,"Dan Balan","Лишь до утра"
94,"Anastacia","Left Outside Alone"
95,"Bianka & VESNA305","Мальчик на Баду"
96,"Stromae","Alors on danse"
97,"Aidyn Zhumakhan","Dama"
98,"JANAGA","В комнате мрак"
99,"Imany","Don't Be So Shy (Filatov & Karas Remix)"
100,"Nessa Barrett","dying on the inside"
