Shazam Top 200 Russia Chart
"Monday, 14 November 2022 [performance over the past 7 days]"
Rank,Artist,Title
1,"DJ Smash & NIVESTA","Позвони"
2,"Markul & Тося Чайкина","Стрелы"
3,"Bakr","Вредина (Mbts Remix)"
4,"Miyagi & Эндшпиль","Silhouette"
5,"Mario Fresh & Renvtø","Necesar"
6,"Oliver Tree & Robin Schulz","Miss You"
7,"Eminem","Mockingbird"
8,"Amirchik","Эта любовь"
9,"просто Лера","Провода"
10,"LSP & Moya Mishel","Курточка"
11,"Purple Disco Machine & Sophie and the Giants","In The Dark"
12,"NЮ","Некуда бежать"
13,"David Guetta & Bebe Rexha","I'm Good (Blue)"
14,"Robin Schulz & David Guetta","On Repeat"
15,"ANNA ASTI","Ночью на кухне"
16,"twocolors","Heavy Metal Love"
17,"Filatov & Karas","Движ"
18,"Barton","Running up That Hill"
19,"Dj Quba & Sandra K","Eins Zwei Polizei"
20,"Sam Smith & Kim Petras","Unholy"
21,"Olivia Addams","Fool Me Once"
22,"Люся Чеботина","ПЛАКАЛ ГОЛЛИВУД"
23,"Tove Lo","2 Die 4"
24,"БАЗАР","Нищенка"
25,"RASA","ПОГУДИМ"
26,"Zivert","WAKE UP!"
27,"Måneskin","SUPERMODEL"
28,"Meduza & James Carter","Bad Memories (feat. Elley Duhé & FAST BOY)"
29,"Elley Duhé","MIDDLE OF THE NIGHT"
30,"ANNA ASTI","Повело"
31,"Costa Lacoste & Allj","Бронежилет"
32,"Sofía Reyes","1, 2, 3 (feat. De La Ghetto & Jason Derulo)"
33,"Tom Odell","Another Love"
34,"ChipaChip & SKRO","Не засекал"
35,"JONY","Никак"
36,"Mr.Kitty","After Dark"
37,"Klangkarussell","Home"
38,"Eliza Rose & Interplanetary Criminal","B.O.T.A. (Baddest Of Them All)"
39,"DJ Smash & Artik & Asti","CO2"
40,"GAYAZOV$ BROTHER$","ФАИНА"
41,"Radjo","Yav Ke Me (Effective Radio Remix)"
42,"Filatov & Karas","I Keep On"
43,"Lady Gaga","Just Dance (feat. Colby O'Donis)"
44,"OneRepublic","I Ain't Worried"
45,"Malia J","Smells Like Teen Spirit"
46,"Султан Лагучев","Горячая, гремучая"
47,"Polina Gagarina & Dima Bilan","Души"
48,"De Lacure","Esindi Jina"
49,"Captown & Landau","gangsta party"
50,"Bakr","Вредина"
51,"ASHY","Острый козырёк"
52,"Imagine Dragons","Bones"
53,"Меховая 8/1","Тойға Шашу"
54,"Ava Max","Million Dollar Baby"
55,"blackbear","hot girl bummer"
56,"Imanbek & BYOR","Belly Dancer"
57,"ANNA ASTI","По барам"
58,"Mary Gu","Калифорния"
59,"INSTASAMKA","POPSTAR"
60,"KDDK","Heartbreaker"
61,"МОТ","Любовь как спецэффект"
62,"Fujii Kaze","Shinunoga E-Wa"
63,"Minelli & R3HAB","Deep Sea"
64,"Egor Kreed","We Gotta Get Love"
65,"Olivia Addams & Dylan Fuentes","Telepathy"
66,"STRANIZA","Painful"
67,"Felix Jaehn & Ray Dalton","Call It Love"
68,"Шалих","Лаванда"
69,"AURORA","Cure For Me"
70,"Dabro","Мне не страшно"
71,"ALEKS ATAMAN & FINIK","Белыми ночами"
72,"Aaron Smith","Dancin (feat. Luvli) [Krono Remix]"
73,"Boney M.","Rasputin (Single Version)"
74,"Ghostface Playa","Why Not"
75,"Lolita & Costa Lacoste","По-другому"
76,"Melisa & Tommo","I'm Alone"
77,"TSOY","Покажу паранойю"
78,"Bastard!","Don't Stop the Party"
79,"ALMA","Summer Really Hurt Us"
80,"Nessa Barrett","la di die (feat. jxdn)"
81,"Alok, Sigala & Ellie Goulding","All By Myself"
82,"Emkal","Oublie-moi"
83,"The Future X","This Kind of Love"
84,"XOLIDAYBOY","Моя хулиганка"
85,"Ani Lorak","Лабиринт"
86,"Moya Mishel & Dose","Пташка"
87,"Bittuev","Братик"
88,"Kamazz","Как ты там"
89,"Duncan Laurence","Arcade"
90,"Mari Kraymbreri","Не буди меня"
91,"GOARTUR","Иностранец"
92,"Rosa Linn","SNAP"
93,"Harry Styles","As It Was"
94,"Jakone, A.V.G & Итачи","Курить"
95,"Eugenio Taicuz","Tataki"
