Shazam Top 200 Pop
"Monday, 14 November 2022 [performance over the past 7 days]"
Rank,Artist,Title
1,"Sam Smith & Kim Petras","Unholy"
2,"Rihanna","Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)"
3,"Oliver Tree & Robin Schulz","Miss You"
4,"Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)"
5,"Beyoncé","CUFF IT"
6,"Mario Fresh & Renvtø","Necesar"
7,"Taylor Swift","Anti-Hero"
8,"OneRepublic","I Ain't Worried"
9,"Rihanna","Born Again"
10,"Elton John & Britney Spears","Hold Me Closer"
11,"Harry Styles","As It Was"
12,"Ed Sheeran","Celestial"
13,"Lady Gaga","Just Dance (feat. Colby O'Donis)"
14,"Meghan Trainor","Made You Look"
15,"Sia","Unstoppable"
16,"JVKE","Golden Hour"
17,"Rema & Selena Gomez","Calm Down"
18,"Black Eyed Peas, Anitta & El Alfa","SIMPLY THE BEST"
19,"Harry Styles","Late Night Talking"
20,"Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)"
21,"Dermot Kennedy","Kiss Me"
22,"Elley Duhé","MIDDLE OF THE NIGHT"
23,"Black Eyed Peas, Shakira & David Guetta","DON'T YOU WORRY"
24,"Ava Max","Million Dollar Baby"
25,"Elton John & Dua Lipa","Cold Heart (PNAU Remix)"
26,"Nyv","Per favore"
27,"Joji","Glimpse of Us"
28,"XOLIDAYBOY","Моя хулиганка"
29,"Katy Perry","Dark Horse (feat. Juicy J)"
30,"Omar Apollo","Evergreen (You Didn’t Deserve Me At All)"
31,"Mecano","Hijo de la luna"
32,"Lady Gaga","Hold My Hand"
33,"Kate Bush","Running Up That Hill (A Deal with God)"
34,"Isabel LaRosa","i'm yours sped up"
35,"Lizzo","2 Be Loved (Am I Ready)"
36,"Rihanna","Love on the Brain"
37,"Ed Sheeran","Perfect"
38,"Tove Lo","2 Die 4"
39,"Billie Eilish & Khalid","lovely"
40,"AJR","World's Smallest Violin"
41,"Benson Boone","In The Stars"
42,"P!nk","Never Gonna Not Dance Again"
43,"George Michael","Careless Whisper"
44,"Don Omar & Lucenzo","Danza Kuduro (feat. Lucenzo)"
45,"Gnarls Barkley","Crazy"
46,"Adele","Set Fire to the Rain"
47,"Ed Sheeran","Shivers"
48,"The Goo Goo Dolls","Iris"
49,"Paloma Faith","Only Love Can Hurt Like This"
50,"Tananai","ABISSALE"
51,"Lizzo","About Damn Time"
52,"Passenger","Let Her Go"
53,"The Kid LAROI & Justin Bieber","STAY"
54,"Zyrex","Love Me (Bluefin Remix)"
55,"Tears for Fears","Everybody Wants To Rule The World"
56,"DJ Smash & NIVESTA","Позвони"
57,"Haddaway","What Is Love"
58,"Meghan Trainor","No"
59,"Ed Sheeran","Bad Habits"
60,"ABBA","Gimme! Gimme! Gimme! (A Man After Midnight)"
61,"Markul & Тося Чайкина","Стрелы"
62,"Harry Styles","Music For a Sushi Restaurant"
63,"charlieonnafriday","Enough"
64,"Remzi","Lola Gulim"
65,"Duncan Laurence","Arcade"
66,"Camila Cabello","Bam Bam (feat. Ed Sheeran)"
67,"Stromae","Alors on danse"
68,"Aime Simone","Shining Light"
69,"Aliana Lohan","Without You"
70,"Kenjebek Nurdolday","Шоколад"
71,"AURORA","Cure For Me"
72,"Peter Fox","Zukunft Pink (feat. Inéz)"
73,"Måneskin","Beggin'"
74,"Dido","Thank You"
75,"Alec Benjamin","Let Me Down Slowly"
76,"Zara Larsson","Lush Life"
77,"Jax","Victoria's Secret"
78,"Bee Gees","Stayin' Alive"
79,"Labrinth","Mount Everest"
80,"Dua Lipa","Levitating (feat. DaBaby)"
81,"ZAYN","Dusk Till Dawn (feat. Sia) [Radio Edit]"
82,"Katy Perry","Harleys In Hawaii"
83,"Daft Punk","Get Lucky (feat. Pharrell Williams & Nile Rodgers)"
84,"JANAGA","В комнате мрак"
85,"Bruno Mars","Locked Out of Heaven"
86,"Eurythmics","Sweet Dreams (Are Made of This)"
87,"Sam Smith","I'm Not The Only One"
88,"John Newman","Love Me Again"
89,"Adele","I Drink Wine"
90,"a-ha","Take On Me"
91,"Boney M.","Rasputin (Single Version)"
92,"Adele","Rolling in the Deep"
93,"JANAGA","Скажи мне, Asa du (Acoustic Version)"
94,"Trinidad Cardona, Davido & AISHA","Hayya Hayya (Better Together) [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]"
95,"Calema & DJ Youcef","Te Amo (DJ Youcef Remix)"
96,"Annalisa","Bellissima"
97,"Ellie Goulding","Lights"
98,"Witt Lowry","Into Your Arms (feat. Ava Max)"
99,"Carly Rae Jepsen","Call Me Maybe"
100,"Måneskin","SUPERMODEL"
101,"Nelly Furtado","Say It Right"
102,"Malika Ayane","Nel Blu Dipinto Di Blu"
103,"Selena Gomez","My Mind & Me"
104,"ABBA","Lay All Your Love On Me"
105,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
106,"Mark Ronson","Uptown Funk (feat. Bruno Mars)"
107,"Xanemusic","People You Know X Him And I (Remix)"
108,"Hoàng Thùy Linh","See Tình (Cukak Remix)"
109,"LOVA","Lonely Ones"
110,"blackbear","hot girl bummer"
111,"Harry Styles","Sign of the Times"
112,"Ed Sheeran","Shape of You"
113,"Matteo Romano","Casa di specchi"
114,"Fedez","VIOLA (feat. Salmo)"
115,"Dr. Dre","Still D.R.E. (feat. Snoop Dogg)"
116,"Ellie Goulding","Love Me Like You Do (From "Fifty Shades of Grey")"
117,"Adele","Easy On Me"
118,"Sia","Cheap Thrills"
119,"Shawn Mendes","There's Nothing Holdin' Me Back"
120,"Charlie Puth & Jung Kook","Left and Right"
121,"OneRepublic","Counting Stars"
122,"The Verve","Bitter Sweet Symphony"
123,"Katy Perry","Hot n Cold"
124,"Rihanna","Pon de Replay"
125,"Olivia Rodrigo","drivers license"
126,"Ava Max","Kings & Queens"
127,"Laura Branigan","Self Control"
128,"Imany","Don't Be So Shy (Filatov & Karas Remix)"
129,"Marshmello & Jonas Brothers","Leave Before You Love Me"
130,"Oliver Tree & sped up nightcore","Miss You (Sped Up Version)"
131,"The Animals","House Of The Rising Sun"
132,"Michael Jackson","Beat It"
133,"Kylie Minogue","Can't Get You Out of My Head"
134,"Nicky Youre & Dazy","Sunroof"
135,"Modjo","Lady (Hear Me Tonight)"
136,"Henry Moodie","you were there for me"
137,"Richard Marx","Right Here Waiting"
138,"Alan Gomez & La Joaqui","LA JOAQUI  Mission 08"
139,"Amirchik","Эта любовь"
140,"ClockClock","Someone Else"
141,"Rihanna","Umbrella (feat. JAY-Z)"
142,"Franz Ferdinand","Take Me Out"
143,"Pinguini Tattici Nucleari","Ricordi"
144,"Lady Gaga","Poker Face"
145,"Frank Ocean","Pink + White"
146,"Hits edit","طالت الغيبة ما شفت عينك"
147,"XXXTENTACION","Hope"
148,"Ed Sheeran","Photograph"
149,"Dan Balan","Лишь до утра"
150,"Tiësto & Ava Max","The Motto"
151,"NЮ","Некуда бежать"
152,"Jennifer Lopez","On the Floor (feat. Pitbull)"
153,"Beyoncé","BREAK MY SOUL"
154,"просто Лера","Провода"
155,"Alexander Rybak","Fairytale"
156,"Mark Ronson","Nothing Breaks Like a Heart (feat. Miley Cyrus)"
157,"Backstreet Boys","I Want It That Way"
158,"Bruno Mars","When I Was Your Man"
159,"KC and the Sunshine Band","Please Don't Go"
160,"Justin Bieber","Ghost"
161,"Sia","Chandelier"
162,"Gloria Gaynor","I Will Survive"
163,"Ana Mena & Belinda","LAS 12"
164,"Naughty Boy","La La La (feat. Sam Smith)"
165,"Roxette","It Must Have Been Love"
166,"Men At Work","Down Under"
167,"ANNA ASTI","Ночью на кухне"
168,"Osalia","Santería"
169,"Maroon 5","Memories"
170,"Nico & Vinz","Am I Wrong"
171,"t.A.T.u.","All The Things She Said"
172,"Justin Timberlake","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS")"
173,"Aidyn Zhumakhan","Dama"
174,"Lil Nas X","THATS WHAT I WANT"
175,"Bronski Beat","Smalltown Boy"
176,"Wham!","Last Christmas"
177,"Halle Abadi","Boytoy"
178,"Sexbomb Girls","Hey Ya!"
179,"Ed Sheeran","Thinking Out Loud"
180,"Tiziano Ferro","La Vita Splendida"
181,"Claude","Ladada (Mon Dernier Mot)"
182,"Adele","Someone Like You"
183,"Bruno Mars","Talking to the Moon"
184,"Rihanna","We Found Love (feat. Calvin Harris)"
185,"Britney Spears","Gimme More"
186,"Rihanna","Stay (feat. Mikky Ekko)"
187,"Rihanna","Woo"
188,"Kenny Loggins","Footloose"
189,"Elton John","I'm Still Standing"
190,"Sean Paul","Temperature"
191,"Beyoncé","Crazy In Love (feat. Jay-Z)"
192,"Dua Lipa","Don't Start Now"
193,"Dire Straits","Money for Nothing"
194,"Cyndi Lauper","Girls Just Want to Have Fun"
195,"Coldplay X BTS","My Universe"
196,"Madonna & Sickick","Frozen"
197,"F.R. David","Words (Original 1982)"
198,"Shawn Mendes","When You're Gone"
199,"No Doubt","Don't Speak"
200,"Rick Astley","Never Gonna Give You Up"
