Shazam Top 200 Global Chart: The most Shazamed tracks in the world
"Monday, 14 November 2022 [performance over the past 7 days]"
Rank,Artist,Title
1,"JIN","The Astronaut"
2,"Sam Smith & Kim Petras","Unholy"
3,"Rihanna","Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)"
4,"Oliver Tree & Robin Schulz","Miss You"
5,"Rema","Calm Down"
6,"Foudeqush & Ludwig Göransson","Con La Brisa"
7,"Burna Boy","Alone"
8,"David Guetta & Bebe Rexha","I'm Good (Blue)"
9,"Chris Brown","Under The Influence"
10,"Eminem","Mockingbird"
11,"Rosa Linn","SNAP"
12,"Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)"
13,"Beyoncé","CUFF IT"
14,"Mario Fresh & Renvtø","Necesar"
15,"Tom Odell","Another Love"
16,"Fireboy DML","Coming Back For You"
17,"Taylor Swift","Anti-Hero"
18,"Adn Maya Colectivo, Pat Boy, Yaalen K'uj & All Mayan Winik","Laayli' kuxa'ano'one"
19,"OneRepublic","I Ain't Worried"
20,"Rihanna","Born Again"
21,"Drake & 21 Savage","Rich Flex"
22,"Bizarrap & Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52"
23,"Ayra Starr","Rush"
24,"Kizz Daniel","Cough (Odo)"
25,"Aerosmith","Dream On"
26,"Måneskin","THE LONELIEST"
27,"Punto40 & Marcianeke","Mini Mini"
28,"Oxlade","KU LO SA - A COLORS SHOW"
29,"Elton John & Britney Spears","Hold Me Closer"
30,"Harry Styles","As It Was"
31,"Lewis Capaldi","Forget Me"
32,"Mabel Matiz","Fırtınadayım"
33,"John Grant","God's Gonna Cut You Down"
34,"Steve Lacy","Bad Habit"
35,"Ed Sheeran","Celestial"
36,"Eliza Rose & Interplanetary Criminal","B.O.T.A. (Baddest Of Them All)"
37,"Fujii Kaze","Shinunoga E-Wa"
38,"Emkal","Oublie-moi"
39,"Lady Gaga","Just Dance (feat. Colby O'Donis)"
40,"Indila","Tourner Dans Le Vide"
41,"Eminem","Sing For The Moment"
42,"Manuel Turizo","La Bachata"
43,"Meghan Trainor","Made You Look"
44,"Stephen Sanchez","Until I Found You"
45,"Myztro, ShaunMusiq & Ftears","Tobetsa"
46,"Sia","Unstoppable"
47,"Bakr","Вредина (Mbts Remix)"
48,"Armani White","BILLIE EILISH."
49,"The Weeknd","After Hours"
50,"Meduza & James Carter","Bad Memories (feat. Elley Duhé & FAST BOY)"
51,"Bad Bunny","Tití Me Preguntó"
52,"Imagine Dragons","Bones"
53,"Burna Boy","Last Last"
54,"Stormzy","Interlude"
55,"Chris Brown","Under The Influence (Body Language)"
56,"JVKE","Golden Hour"
57,"Southstar","Miss You"
58,"Rema & Selena Gomez","Calm Down"
59,"Black Eyed Peas, Anitta & El Alfa","SIMPLY THE BEST"
60,"Harry Styles","Late Night Talking"
61,"Billie Eilish","bury a friend"
62,"Cem Adrian","Keskin"
63,"Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)"
64,"ROSALÍA","DESPECHÁ"
65,"Grupo Frontera","No Se Va (En Vivo)"
66,"Nicki Minaj","Super Freaky Girl"
67,"Dermot Kennedy","Kiss Me"
68,"TWISTED","WORTH NOTHING (feat. Oliver Tree)"
69,"Victony & Tempoe","Soweto"
70,"Coolio","Gangsta's Paradise (feat. L.V.)"
71,"James Hype & Miggy Dela Rosa","Ferrari"
72,"Elley Duhé","MIDDLE OF THE NIGHT"
73,"Glass Animals","Heat Waves"
74,"Dean Lewis","How Do I Say Goodbye"
75,"Beach Weather","Sex, Drugs, Etc."
76,"Quavo & Takeoff","HOTEL LOBBY (Unc & Phew)"
